club;rate
1. FC Heidenheim 1846;35.23
1. FC Köln;70.49
1. FC Magdeburg;0
1. FC Nürnberg;35.23
1. FSV Mainz 05;70.49
TSV 1860 München;0
Aalborg BK;41.06
Aalesunds FK;0
Aarhus GF;41.06
Aberdeen;31.50
Abha Club;0
AC Ajaccio;32.11
AC Horsens;41.06
Academica;0
Accrington Stanley;22.45
AD Alcorcón;35.20
Adelaide United;28.15
Admira Wacker;44.13
ADO Den Haag;44.98
Bournemouth;48.58
AFC Wimbledon;22.45
AIK;30.86
AJ Auxerre;32.11
Ajax;44.98
Al Adalah;0
Al Ahli;0
Al Faisaly;0
Al Fateh;0
Al Fayha;0
Al Hazem;0
Al Hilal;0
Al Ittihad;0
Al Nassr;0
Al Raed;0
Al Shabab;0
Al Taawoun;0
Al Wehda;0
Alanyaspor;41.83
Albacete BP;35.20
Aldosivi;43.66
Club América;44.84
Amiens SC;32.11
Angers SCO;61.40
Antalyaspor;41.83
Argentinos Jrs;43.66
Arsenal;74.43
Arsenal;43.66
AS Monaco;61.40
AS Saint-Étienne;61.40
Aston Villa;74.43
Astra Giurgiu;0
Atalanta;65.63
Athletic Club de Bilbao;72.18
Athletico-PR;51.27
Atlanta United;38.25
Club Atlas;44.84
Atlético Madrid;72.18
Atlético de San Luis;44.84
Atlético Mineiro;51.27
Atlético Tucumán;43.66
Atlético-GO;51.27
AZ Alkmaar;44.98
Bahia;51.27
Banfield;43.66
Barnsley;48.58
Barrow;0
Başakşehir;41.83
BB Erzurumspor;41.83
Beijing Guoan;42.01
Os Belenenses;50.02
Benevento;65.63
Beşiktaş JK;41.83
DSC Arminia Bielefeld;70.49
Birmingham City;48.58
BK Häcken;30.86
Blackburn Rovers;48.58
Blackpool;22.45
Boavista FC;50.02
Bohemian FC;0
Bologna;65.63
Bolton;0
FC Girondins de Bordeaux;61.40
Botafogo;51.27
Bradford City;0
Eintracht Braunschweig;35.23
Brentford;48.58
Brighton & Hove Albion;74.43
Brisbane Roar;28.15
Bristol City;48.58
Bristol Rovers;22.45
Brøndby IF;41.06
BSC Young Boys;44.68
Buenos Aires;43.66
Burnley;74.43
Burton Albion;22.45
Busan IPark;0
CA Osasuna;72.18
Cádiz CF;72.18
Cagliari;65.63
Cambridge United;0
Cardiff City;48.58
Carlisle United;0
Çaykur Rizespor;41.83
C.D. Castellón;35.20
CD Leganés;35.20
CD Lugo;35.20
CD Mirandés;35.20
CD Tenerife;35.20
CD Tondela;50.02
CE Sabadell;35.20
Ceará SC;51.27
Celtic;31.50
Central Coast;28.15
Central Córdoba;43.66
KSV Cercle Brugge;43.16
Cerezo Osaka;31.48
CF Fuenlabrada;35.20
CFR 1907 Cluj;0
Charlton Athletic;22.45
Châteauroux;32.11
Chelsea;74.43
Cheltenham Town;0
Chicago Fire;38.25
Chindia;0
Chongqing SWM;42.01
Clermont;32.11
Club Brugge;43.16
Colchester United;0
Colón;43.66
Colorado Rapids;38.25
Columbus Crew SC;38.25
Coritiba;51.27
Cork City;0
Coventry City;48.58
Cracovia;0
Crawley Town;0
Crewe Alexandra;22.45
Crotone;65.63
Cruz Azul;44.84
Crystal Palace;74.43
Deportivo Alavés;72.18
DC United;38.25
Daegu FC;0
Dalian Pro;42.01
Damac FC;0
Defensa y Justicia;43.66
Denizlispor;41.83
Derby County;48.58
Derry City;0
Dijon FCO;61.40
Djurgårdens IF;30.86
Doncaster;22.45
Borussia Dortmund;70.49
Dundalk;0
Dundee United;31.50
Fortuna Düsseldorf;35.23
SG Dynamo Dresden;0
En Avant de Guingamp;32.11
Elche CF;72.18
Erzgebirge Aue;35.23
Estudiantes;43.66
Ettifaq FC;0
Everton;74.43
Excel Mouscron;43.16
Exeter City;0
FC Tokyo;31.48
Falkenbergs FF;30.86
Farense;50.02
FC Argeș;0
FC Augsburg;70.49
FC Barcelona;72.18
FC Basel 1893;44.68
FC Bayern München;70.49
Bayern München II ;0
FC Botoşani;0
FC Cartagena;35.20
FC Chambly;32.11
FC Cincinnati;38.25
FC Dallas;38.25
FC Dinamo 1948;0
FC Emmen;44.98
Famalicão;50.02
FC Groningen;44.98
FC Hermannstadt;0
FC Ingolstadt;0
FC Juárez;44.84
FC København;41.06
FC Lorient;61.40
FC Lugano;44.68
FC Luzern;44.68
FC Metz;61.40
FC Midtjylland;41.06
FC Nantes;61.40
FC Nordsjælland;41.06
FC Porto;50.02
FC Schalke 04;70.49
FC Seoul;0
FC Sion;44.68
FC St. Gallen;44.68
FC St. Pauli;35.23
FC Twente;44.98
FC Utrecht;44.98
FC Vaduz;44.68
FC Viitorul;0
FC Voluntari;0
FC Zürich;44.68
FCSB;0
FCSM;32.11
Fenerbahçe SK;41.83
Feyenoord;44.98
Finn Harps;0
Fiorentina;65.63
FK Austria Wien;44.13
FK Bodø/Glimt;0
FK Haugesund;0
Fleetwood Town;22.45
Fluminense;51.27
Forest Green Rovers;0
Fortaleza;51.27
Fortuna Sittard;44.98
Eintracht Frankfurt;70.49
FSV Zwickau;0
Fulham;74.43
Galatasaray SK;41.83
Gamba Osaka;31.48
Gangwon FC;0
Gaz Metan Mediaș;0
Gaziantep;41.83
Gençlerbirliği;41.83
Genoa;65.63
Getafe CF;72.18
Gil Vicente;50.02
Gillingham;22.45
Gimnasia;43.66
Girona FC;35.20
Godoy Cruz;43.66
Goiás;51.27
Górnik Zabrze;0
Göztepe SK;41.83
Granada CF;72.18
Grêmio;51.27
Grenoble;32.11
Greuther Fürth;35.23
Grimsby Town;0
Guadalajara;44.84
Guangzhou;42.01
Guangzhou R&F;42.01
GwangJu FC;0
H.Consa.Sapporo;31.48
Haching;0
Hallescher FC;0
Hamburger SV;35.23
Hamilton;31.50
Hammarby IF;30.86
Hannover 96;35.23
FC Hansa Rostock;0
Harrogate Town;0
Hatayspor;41.83
Havre AC;32.11
Hebei CFFC;42.01
Hellas Verona;65.63
Helsingborgs IF;30.86
Henan Jianye;42.01
Heracles Almelo;44.98
Hertha BSC;70.49
Hibernian;31.50
Holstein Kiel;35.23
Houston Dynamo;38.25
Huddersfield Town;48.58
Hull City;22.45
Club Atlético Huracán;43.66
IF Elfsborg;30.86
IFK Göteborg;30.86
IFK Norrköping;30.86
IK Sirius;30.86
IK Start;0
Montreal Impact;38.25
Incheon United;0
Independiente;43.66
Inter;65.63
Inter Miami;38.25
Internacional;51.27
Ipswich Town;22.45
Jagiellonia;0
SSV Jahn Regensburg;35.23
Jeonbuk Hyundai;0
Jiangsu Suning;42.01
K Beerschot VA;43.16
KAA Gent;43.16
1. FC Kaiserslautern;0
Kalmar FF;30.86
Karagümrük SK;41.83
Karlsruher SC;35.23
KAS Eupen;43.16
Kashima Antlers;31.48
Kashiwa Reysol;31.48
Kasimpaşa;41.83
Kawasaki Frontale;31.48
Kayserispor;41.83
KFC Uerdingen 05;0
Kilmarnock;31.50
Konyaspor;41.83
KRC Genk;43.16
Kristiansund;0
KV Kortrijk;43.16
KV Mechelen;43.16
KV Oostende;43.16
LA Galaxy;38.25
Spezia;65.63
Los Angeles FC;38.25
Club Atlético Lanús;43.66
LASK;44.13
FC Lausanne-Sport;44.68
Lazio;65.63
Lech Poznań;0
Lechia Gdańsk;0
Leeds United;74.43
Legia Warszawa;0
Leicester City;74.43
León;44.84
Levante UD;72.18
Bayer 04 Leverkusen;70.49
Leyton Orient;0
Lincoln City;22.45
Liverpool;74.43
Livingston;31.50
LOSC Lille;61.40
Luton Town;48.58
Lyngby BK;41.06
M'gladbach;70.49
Macarthur FC;28.15
Málaga CF;35.20
Malmö FF;30.86
Manchester City;74.43
Manchester United;74.43
Mansfield Town;0
Clube Sport Marítimo;50.02
Mazatlán FC;44.84
Melb. Victory;28.15
Melbourne City;28.15
Middlesbrough;48.58
Milan;65.63
Millwall;48.58
Minnesota United;38.25
Mjällby AIF;30.86
Mjøndalen IF;0
MK Dons;22.45
MKE Ankaragücü;41.83
Molde FK;0
Montpellier HSC;61.40
Morecambe;0
Moreirense FC;50.02
Motherwell;31.50
Duisburg;0
Nacional;50.02
Nagoya Grampus;31.48
Nancy;32.11
Napoli;65.63
Nashville SC;38.25
Club Necaxa;44.84
New England Revolution;38.25
New York City FC;38.25
Newcastle Jets;28.15
Newcastle United;74.43
Newell’s Old Boys;43.66
Newport County;0
Nîmes Olympique;61.40
Chamois Niortais Football Club;32.11
Northampton Town;22.45
Norwich City;48.58
Nottingham Forest;48.58
Núñez;43.66
NY Red Bulls;38.25
Oceânico FC;51.27
Odds BK;0
Odense BK;41.06
OGC Nice;61.40
OH Leuven;43.16
Oita Trinita;31.48
Olympique Lyonnais;61.40
Oldham Athletic;0
Olympique de Marseille;61.40
Örebro SK;30.86
Orlando City SC;38.25
Östersunds FK;30.86
Oxford United;22.45
Pachuca;44.84
Paços Ferreira;50.02
Paris FC;32.11
Paris Saint-Germain;61.40
Parma;65.63
Patronato;43.66
Pau FC;32.11
PEC Zwolle;44.98
Perth Glory;28.15
Peterborough United;22.45
PGE Stal Mielec;0
Philadelphia Union;38.25
Piast Gliwice;0
Piemonte Calcio;65.63
Plymouth Argyle;22.45
Podbeskidzie;0
Pogoń Szczecin;0
Pohang Steelers;0
Politehnica Iaşi;0
Port Vale;0
Portimonense SC;50.02
Portland Timbers;38.25
Portsmouth;22.45
Preston North End;48.58
PSV;44.98
Puebla;44.84
Pumas;44.84
Qingdao Huanghai;42.01
QPR;48.58
Querétaro;44.84
Real Oviedo;35.20
Real Sporting de Gijón;35.20
Real Valladolid CF;72.18
Real Zaragoza;35.20
Racing Club de Lens;43.66
Raków Częstochowa;0
Randers FC;41.06
Rangers FC;31.50
Rayados;44.84
Rayo Vallecano;35.20
RB Leipzig;70.49
FC Red Bull Salzburg;44.13
RC Celta;72.18
RC Lens;61.40
RCD Espanyol;35.20
RCD Mallorca;35.20
Reading;48.58
Real Betis;72.18
Real Madrid;72.18
Real Salt Lake;38.25
Real Sociedad;72.18
Rennes;61.40
Rio Ave FC;50.02
RKC Waalwijk;44.98
Rochdale;22.45
Rodez AF;32.11
Roma;65.63
Rosario Central;43.66
Rosenborg BK;0
Ross County;31.50
Rotherham United;48.58
Royal Antwerp FC;43.16
RSC Anderlecht;43.16
S-Hiroshima;31.48
1. FC Saarbrücken;0
Sagan Tosu;31.48
Salford City;0
Sampdoria;65.63
San Lorenzo de Almagro;43.66
Sandefjord;0
Sangju Sangmu;0
Santa Clara;50.02
Santos;51.27
Santos Laguna;44.84
Sarpsborg 08;0
Sassuolo;65.63
SC Braga;50.02
SC Freiburg;70.49
SC Heerenveen;44.98
SC Paderborn 07;35.23
SC Verl;0
SCR Altach;44.13
Scunthorpe United;0
SD Eibar;72.18
SD Huesca;72.18
SD Ponferradina;35.20
Seattle Sounders FC;38.25
Seongnam FC;0
Sepsi OSK;0
Servette FC;44.68
Sevilla FC;72.18
Shamrock Rovers;0
Shandong Luneng;42.01
Shanghai Shenhua;42.01
Shanghai SIPG;42.01
Sheffield United;74.43
Sheffield Wednesday;48.58
Shelbourne;0
Shenzhen Kaisa;42.01
Shijiazhuang;42.01
Shimizu S-Pulse;31.48
Shonan Bellmare;31.48
Shrewsbury;22.45
Sint-Truidense VV;43.16
Sivasspor;41.83
San Jose Earthquakes;38.25
SK Brann;0
SK Rapid Wien;44.13
SK Sturm Graz;44.13
SKN St. Pölten;44.13
SL Benfica;50.02
Śląsk Wrocław;0
Sligo Rovers;0
SM Caen;32.11
SønderjyskE;41.06
Southampton;74.43
Southend United;0
Sporting de Charleroi;43.16
Sparta Rotterdam;44.98
Sporting CP;50.02
Sporting KC;38.25
Spurs;74.43
St. Johnstone;31.50
St. Mirren;31.50
St. Pats;0
Stabæk Fotball;0
Stade Brestois 29;61.40
Stade Rennais FC;61.40
Standard de Liège;43.16
Stevenage;0
Stoke City;48.58
RC Strasbourg Alsace;61.40
Strømsgodset IF;0
Sunderland;22.45
Suwon Samsung;0
SV Darmstadt 98;35.23
SV Meppen;0
SV Ried;44.13
SV Sandhausen;35.23
SV Waldhof;0
SVWW;0
Swansea City;48.58
Swindon Town;22.45
Sydney FC;28.15
Club Atlético Talleres;43.66
Tianjin TEDA;42.01
Tigres U.A.N.L.;44.84
Club Tijuana;44.84
Deportivo Toluca;44.84
Torino;65.63
Toronto FC;38.25
Toulouse Football Club;32.11
Trabzonspor;41.83
Tranmere Rovers;0
ESTAC Troyes;32.11
TSG 1899 Hoffenheim;70.49
TSV Hartberg;44.13
Türkgücü;0
UD Almería;35.20
UD Las Palmas;35.20
UD Logroñés;35.20
Udinese;65.63
Ulsan Hyundai;0
Unión;43.66
1. FC Union Berlin;70.49
Univ. Craiova;0
Urawa Reds;31.48
USL Dunkerque;32.11
UTA Arad;0
Vitória Guimarães;50.02
VAFC;32.11
Valencia CF;72.18
Vålerenga Fotball;0
Varbergs BoIS;30.86
Vegalta Sendai;31.48
Vejle Boldklub;41.06
Vélez Sarsfield;43.66
VfB Lübeck;0
VfB Stuttgart;70.49
VfL Bochum 1848;35.23
VfL Osnabrück;35.23
VfL Wolfsburg;70.49
Viking FK;0
Viktoria Köln;0
Villarreal CF;72.18
Vissel Kobe;31.48
Vitesse;44.98
VVV-Venlo;44.98
Waasland-Beveren;43.16
Walsall;0
Warta Poznań;0
Waterford FC;0
Watford;48.58
Well. Phoenix;28.15
SV Werder Bremen;70.49
West Bromwich Albion;74.43
West Ham United;74.43
Western United;28.15
Vancouver Whitecaps FC;38.25
Wigan Athletic;22.45
Willem II;44.98
Wisła Kraków;0
Wisła Płock;0
Wolfsberger AC;44.13
Wolves;74.43
Bolton Wanderers;28.15
WSG Tirol;74.43
Wuhan Zall;42.01
Würzburg;35.23
Wycombe Wanderers;48.58
Yeni Malatyaspor;41.83
Yokohama F･M;31.48
Yokohama FC;31.48
Zagłębie Lubin;0
SV Zulte-Waregem;43.16
Tottenham Hotspur;74.43
Juventus;65.63
Wolverhampton Wanderers;74.43
Borussia Mönchengladbach;70.49
Spartak Moscow;51.39
Lokomotiv Moscow;51.39